PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
237083763,20192910,6,2020-10-15T10:10:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1702,3,3,-79.976432641371,40.4303408118696
236301453,20187100,14,2020-10-07T09:00:00,"300 Block 3rd Ave Pittsburgh, PA 15222",Y,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief. / 3302 Causing or Risking Catastrophe. / 3301 Arson ,201,6,6,-80.0016135598372,40.4388661313797
236496107,20188815,0,2020-10-09T10:15:00,"2900 Block Smallman St Pittsburgh, PA 15201",N,Strip District,2,99,9999 9999 - (Misc. Incident): ,203,7,6,-79.9746567295873,40.4584288779303
238219511,20202344,0,2020-10-29T13:05:00,"1500 Block Howard St Pittsburgh, PA 15212",N,Fineview,1,99,9998 Overdose Other,2509,1,1,-79.9999167823764,40.458925938276
236726821,20190722,0,2020-10-12T09:00:00,"4000 Block Penn Ave Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9997 Overdose Death,902,7,2,-79.9579274529427,40.4651883742036
236730337,20190809,18,2020-10-12T12:50:00,"N Homewood Ave & Frankstown Ave Pittsburgh, PA 15208",Y,Homewood North,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,1302,9,2,-79.8963011488784,40.457404655664
236795343,20190837,10,2020-10-12T13:00:00,"7700 Block Mulford St Pittsburgh, PA 15221",Y,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1304,9,2,-79.8894729443718,40.4519570257054
236806908,20191043,0,2020-10-12T16:15:00,"1200 Block Clairhaven St Pittsburgh, PA 15205",N,Crafton Heights,6,99,9999 9999 - (Misc. Incident): Suspicious Activity,2815,2,5,-80.0524307943684,40.4398421325062
236810461,20191048,10,2020-10-12T16:35:00,"400 Block S Atlantic Ave Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT,2709 Harassment (Non-Specific),806,7,2,-79.9395532980063,40.4595892774108
236810523,20191064,10,2020-10-12T19:30:00,"6100 Block East Liberty Blvd Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3732.1 Aggravated Assault by Vehicle,1115,9,2,-79.9209421626331,40.4653790134256
236815642,20190890,0,2020-10-12T16:20:00,"S Negley Ave & Centre Ave Pittsburgh, PA 15232",N,Bloomfield,5,99,1786 Required Financial Responsibility.,806,8,2,-79.9340605671477,40.4572698639493
236815738,20191147,27,2020-10-12T22:51:00,"300 Block Wabana St Pittsburgh, PA 15214",Y,Perry North,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2602,,,0,0
236817779,20191226,6,2020-10-13T01:30:00,"2900 Block Mullins St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.0319630518536,40.4704113247902
236818192,20190175,10,2020-10-11T09:58:00,"600 Block First Ave Pittsburgh, PA 15219",Y,Allegheny Center,1,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3736 Reckless Driving,201,6,6,-79.9960409452176,40.4350395659105
236823333,20191266,10,2020-10-11T06:30:00,"200 Block Lombard St Pittsburgh, PA 15219",N,Crawford-Roberts,2,SIMPLE ASSAULT,2701 Simple Assault.,305,,,0,0
236292513,20187410,6,2020-10-07T09:39:00,"7th St & Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-80.000262668607,40.44323848827
