ID,STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
232,42,3,190300,42003190300,1945,1202,P,880497,880497,42,3,191100,42003191100,2425,1393,P,1604428,1604428,5273,5273,0.6,0.6,0.33,0.33,0,0,0,0,0,0
235,42,3,191100,42003191100,2425,1393,P,1601495,1601495,42,3,191100,42003191100,2425,1393,P,1604428,1604428,1596748,1596748,99.7,99.7,99.52,99.52,2425,100,100,1393,100,100
259,42,3,201900,42003201900,236,160,P,508081,508081,42,3,191100,42003191100,2425,1393,P,1604428,1604428,2407,2407,0.47,0.47,0.15,0.15,0,0,0,0,0,0
236,42,3,191400,42003191400,2796,1736,W,945286,945286,42,3,191400,42003191400,2796,1736,W,945286,945286,945286,945286,100,100,100,100,2796,100,100,1736,100,100
229,42,3,180900,42003180900,1925,1083,P,1068755,1068755,42,3,191500,42003191500,2047,1168,P,809171,809171,1033,1033,0.1,0.1,0.13,0.13,0,0,0,0,0,0
237,42,3,191500,42003191500,2047,1170,P,808500,808500,42,3,191500,42003191500,2047,1168,P,809171,809171,808138,808138,99.96,99.96,99.87,99.87,2047,100,100,1168,99.83,100
239,42,3,191600,42003191600,4295,2088,P,2429142,2429142,42,3,191600,42003191600,4295,2088,W,2428778,2428778,2428778,2428778,99.99,99.99,100,100,4295,100,100,2088,100,100
241,42,3,191700,42003191700,3448,1632,P,1865406,1865406,42,3,191700,42003191700,3448,1632,W,1863209,1863209,1863209,1863209,99.88,99.88,100,100,3448,100,100,1632,100,100
243,42,3,191800,42003191800,5333,2603,P,1442578,1442578,42,3,191800,42003191800,5322,2596,P,1453328,1453328,1429339,1429339,99.08,99.08,98.35,98.35,5322,99.79,100,2596,99.73,100
949,42,3,479000,42003479000,1997,882,P,1441253,1441253,42,3,191800,42003191800,5322,2596,P,1453328,1453328,23989,23989,1.66,1.66,1.65,1.65,0,0,0,0,0,0
248,42,3,191900,42003191900,2183,1076,W,607468,607468,42,3,191900,42003191900,2183,1076,P,608743,608743,607468,607468,100,100,99.79,99.79,2183,100,100,1076,100,100
866,42,3,472300,42003472300,2022,1045,P,345019,345019,42,3,191900,42003191900,2183,1076,P,608743,608743,1275,1275,0.37,0.37,0.21,0.21,0,0,0,0,0,0
249,42,3,192000,42003192000,3703,1859,P,1362677,1362677,42,3,192000,42003192000,3679,1851,P,1362848,1362848,1357439,1357439,99.62,99.62,99.6,99.6,3669,99.08,99.73,1849,99.46,99.89
863,42,3,472100,42003472100,2490,1290,P,534290,534290,42,3,192000,42003192000,3679,1851,P,1362848,1362848,5409,5409,1.01,1.01,0.4,0.4,10,0.4,0.27,2,0.16,0.11
256,42,3,201800,42003201800,2706,1252,P,1418527,1418527,42,3,202200,42003202200,2568,1245,P,881778,881778,1835,1835,0.13,0.13,0.21,0.21,2,0.07,0.08,1,0.08,0.08
263,42,3,202100,42003202100,477,236,P,345975,345975,42,3,202200,42003202200,2568,1245,P,881778,881778,1407,1407,0.41,0.41,0.16,0.16,0,0,0,0,0,0
266,42,3,202200,42003202200,2593,1257,P,886577,886577,42,3,202200,42003202200,2568,1245,P,881778,881778,878536,878536,99.09,99.09,99.63,99.63,2566,98.96,99.92,1244,98.97,99.92
268,42,3,202300,42003202300,4231,2171,P,2551113,2551113,42,3,202300,42003202300,4144,2118,P,2521184,2521184,2517880,2517880,98.7,98.7,99.87,99.87,4144,97.94,100,2118,97.56,100
839,42,3,469000,42003469000,4387,2037,P,5396099,5396099,42,3,202300,42003202300,4144,2118,P,2521184,2521184,3304,3304,0.06,0.06,0.13,0.13,0,0,0,0,0,0
273,42,3,210700,42003210700,2095,1293,P,709730,709730,42,3,210700,42003210700,2130,1319,P,723091,723091,706473,706473,99.54,99.54,97.7,97.7,2095,100,98.36,1293,100,98.03
276,42,3,210800,42003210800,46,30,P,1472816,999021,42,3,210700,42003210700,2130,1319,P,723091,723091,16618,16618,1.13,1.66,2.3,2.3,35,76.09,1.64,26,86.67,1.97
284,42,3,220600,42003220600,1833,1276,W,428877,428877,42,3,220600,42003220600,1833,1276,W,428877,428877,428877,428877,100,100,100,100,1833,100,100,1276,100,100
285,42,3,230400,42003230400,2098,1555,P,600232,600232,42,3,240600,42003240600,2714,1608,P,1553029,1225413,4294,4294,0.72,0.72,0.28,0.35,0,0,0,0,0,0
288,42,3,240600,42003240600,2714,1608,P,1546697,1219081,42,3,240600,42003240600,2714,1608,P,1553029,1225413,1546397,1218781,99.98,99.98,99.57,99.46,2714,100,100,1608,100,100
566,42,3,427000,42003427000,3709,2091,P,1866064,1715524,42,3,240600,42003240600,2714,1608,P,1553029,1225413,2338,2338,0.13,0.14,0.15,0.19,0,0,0,0,0,0
